Sr. No.,Lease Name,Area,Document Name,condition_type,shortened_condition_text,condition_text,Evidence,clause_number,Priority,AI Validated,Location,Type,Assigned by,Assigned to,Progress Status,create date,deadline date,completion date,approved date,validation date,closure date
186,Topailore,14.15,CTE,Specific,Ensure RSPM (PM10 and PM 2.5) levels are within prescribed limits,"That, effective safeguard measures should be taken to control fugitive emissions so as to ensure that RSPM (PM10 and PM 2.5) levels are within prescribed limits.",pdf,21,3,0,Gua,Iron Ore Mine,Ankit,Shreyas,Evidence Pending,7/4/2025,7/4/2025,8/13/2025,,12/31/2027,12/31/2027
187,Topailore,14.15,CTE,Specific,Submit final mine closure plan in advance of final mine closure,"That, a final mine closure Plan along with corpus fund duly approved by Competent Authority shall be submitted in advance of final mine closure for approval.",pdf,22,3,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,4/19/2025,4/19/2025,4/29/2025,5/2/2025,5/2/2025,5/2/2025
188,Topailore,14.15,CTE,Specific,Corpus fund to be duly approved by Competent Authority,"That, a final mine closure Plan along with corpus fund duly approved by Competent Authority shall be submitted in advance of final mine closure for approval.",pdf,22,3,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,10/28/2024,10/28/2024,11/4/2024,11/5/2024,11/5/2024,11/5/2024
189,Topailore,14.15,CTE,Specific,Make all internal roads pucca,"That, the proponent shall make ail internal roads pucca and shall maintain a good housekeeping by regular cleaning and wetting of the haul roads and the premises.",image,23,2,0,Gua,Iron Ore Mine,Vinay,Anshul,Evidence Pending,7/19/2025,7/19/2025,9/2/2025,,12/31/2027,12/31/2027
190,Topailore,14.15,CTE,Specific,Maintain good housekeeping by regular cleaning and wetting of haul roads,"That, the proponent shall make ail internal roads pucca and shall maintain a good housekeeping by regular cleaning and wetting of the haul roads and the premises.",image,23,1,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,10/9/2024,10/9/2024,10/16/2024,10/17/2024,10/17/2024,10/17/2024
191,Topailore,14.15,CTE,Specific,Maintain good housekeeping by regular cleaning and wetting of the premises,"That, the proponent shall make ail internal roads pucca and shall maintain a good housekeeping by regular cleaning and wetting of the haul roads and the premises.",image,23,1,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,7/30/2024,7/30/2024,8/27/2024,8/28/2024,8/28/2024,8/28/2024
192,Topailore,14.15,CTE,Specific,Take measures for control of noise levels below 85 dBA,"That, Measures should be taken for control of noise levels below 85 dBA in the work environment. Workers engaged in operations of HEMM, etc. should be provided with ear plugs / muffs.",pdf,24,2,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,4/9/2025,4/9/2025,4/25/2025,4/28/2025,4/28/2025,4/28/2025
193,Topailore,14.15,CTE,Specific,Provide ear plugs/muffs to workers engaged in HEMM operations,"That, Measures should be taken for control of noise levels below 85 dBA in the work environment. Workers engaged in operations of HEMM, etc. should be provided with ear plugs / muffs.",image,24,2,0,Gua,Iron Ore Mine,Naveen,test_user_SUPER,Approval Pending,10/7/2024,10/7/2024,10/26/2024,,12/31/2027,12/31/2027
194,Topailore,14.15,CTE,General,Construct pucca minimum ten feet high boundary wall,"That, the occupier shall construct pucca (i) minimum ten feet high boundary wall and (ii) approach road and internal roads and shall keep the premises neat and clean and tidy.",image,1,2,0,Gua,Iron Ore Mine,Ankit,Shreyas,Evidence Pending,6/26/2025,6/26/2025,7/31/2025,,12/31/2027,12/31/2027
195,Topailore,14.15,CTE,General,Construct pucca approach road and internal roads,"That, the occupier shall construct pucca (i) minimum ten feet high boundary wall and (ii) approach road and internal roads and shall keep the premises neat and clean and tidy.",image,1,2,0,Gua,Iron Ore Mine,Vinay,Anshul,Evidence Pending,6/24/2025,6/24/2025,8/5/2025,,12/31/2027,12/31/2027
196,Topailore,14.15,CTE,General,"Keep the premises neat, clean and tidy","That, the occupier shall construct pucca (i) minimum ten feet high boundary wall and (ii) approach road and internal roads and shall keep the premises neat and clean and tidy.",image,1,1,0,Gua,Iron Ore Mine,Vinay,Anshul,Approval Pending,12/10/2024,12/10/2024,12/24/2024,,12/31/2027,12/31/2027
197,Topailore,14.15,CTE,General,Install comprehensive enclosure for unloading of raw materials,"That, the occupier shall install comprehensive enclosure(s) to cover the places of unloading of raw materials, the equipments of their processing & transferring, the places of loading of products, by products and wastes for prevention of fugitive emission and shall install such automatic inbuilt system(s) that in house dust/ gases collect(s) and undergo (es) cleaning and clean air goes out.",image,2,2,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,4/28/2024,4/28/2024,5/25/2024,5/26/2024,5/26/2024,5/26/2024
198,Topailore,14.15,CTE,General,Install comprehensive enclosure for processing & transferring equipment,"That, the occupier shall install comprehensive enclosure(s) to cover the places of unloading of raw materials, the equipments of their processing & transferring, the places of loading of products, by products and wastes for prevention of fugitive emission and shall install such automatic inbuilt system(s) that in house dust/ gases collect(s) and undergo (es) cleaning and clean air goes out.",image,2,2,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,5/28/2025,5/28/2025,6/9/2025,6/11/2025,6/11/2025,6/11/2025
199,Topailore,14.15,CTE,General,"Install comprehensive enclosure for loading of products, by-products and wastes","That, the occupier shall install comprehensive enclosure(s) to cover the places of unloading of raw materials, the equipments of their processing & transferring, the places of loading of products, by products and wastes for prevention of fugitive emission and shall install such automatic inbuilt system(s) that in house dust/ gases collect(s) and undergo (es) cleaning and clean air goes out.",image,2,2,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,3/31/2024,3/31/2024,4/21/2024,4/22/2024,4/22/2024,4/22/2024
200,Topailore,14.15,CTE,General,Install automatic inbuilt system to collect in-house dust/gases,"That, the occupier shall install comprehensive enclosure(s) to cover the places of unloading of raw materials, the equipments of their processing & transferring, the places of loading of products, by products and wastes for prevention of fugitive emission and shall install such automatic inbuilt system(s) that in house dust/ gases collect(s) and undergo (es) cleaning and clean air goes out.",image,2,2,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,12/6/2024,12/6/2024,1/2/2025,1/3/2025,1/3/2025,1/3/2025
201,Topailore,14.15,CTE,General,Automatic inbuilt system must clean the collected dust/gases,"That, the occupier shall install comprehensive enclosure(s) to cover the places of unloading of raw materials, the equipments of their processing & transferring, the places of loading of products, by products and wastes for prevention of fugitive emission and shall install such automatic inbuilt system(s) that in house dust/ gases collect(s) and undergo (es) cleaning and clean air goes out.",image,2,2,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,5/15/2024,5/15/2024,6/11/2024,6/13/2024,6/13/2024,6/13/2024
202,Topailore,14.15,CTE,General,Install automatic inbuilt system to process flue/process gas,"That, the occupier shall install such automatic inbuilt system(s) that process flue gas(es) / process gas(es) and undergo(es) cleaning and clean air go(es) out through the chimney(s), having height(s) as per Central Pollution Control Board norm.",image,3,3,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,1/28/2025,1/28/2025,2/17/2025,2/19/2025,2/19/2025,2/19/2025
203,Topailore,14.15,CTE,General,Chimney height must conform to CPCB norms,"That, the occupier shall install such automatic inbuilt system(s) that process flue gas(es) / process gas(es) and undergo(es) cleaning and clean air go(es) out through the chimney(s), having height(s) as per Central Pollution Control Board norm.",pdf,3,3,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,4/16/2025,4/16/2025,5/7/2025,5/9/2025,5/9/2025,5/9/2025
204,Topailore,14.15,CTE,General,"Provide DG Set as per Environment (Protection) Rules, 1986 standards","That, the occupier shall have D G Set(s) of the standard as laid in the Environment (protection) Rules, 1986 and shall install it (them) within acoustic enclosure(s) and shall keep the height(s) of exhaust pipe(s) as per Central Pollution Control Board norm.","image,pdf",4,2,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,7/18/2024,7/18/2024,8/3/2024,8/6/2024,8/6/2024,8/6/2024
205,Topailore,14.15,CTE,General,Install DG Set(s) within acoustic enclosure,"That, the occupier shall have D G Set(s) of the standard as laid in the Environment (protection) Rules, 1986 and shall install it (them) within acoustic enclosure(s) and shall keep the height(s) of exhaust pipe(s) as per Central Pollution Control Board norm.",image,4,2,0,Gua,Iron Ore Mine,Vinay,Anshul,Approval Pending,10/3/2024,10/3/2024,10/31/2024,,12/31/2027,12/31/2027
206,Topailore,14.15,CTE,General,Maintain height of DG Set exhaust pipe as per CPCB norm,"That, the occupier shall have D G Set(s) of the standard as laid in the Environment (protection) Rules, 1986 and shall install it (them) within acoustic enclosure(s) and shall keep the height(s) of exhaust pipe(s) as per Central Pollution Control Board norm.",pdf,4,2,0,Gua,Iron Ore Mine,Ankit,Vinay,Approval Pending,1/5/2025,1/5/2025,1/28/2025,,12/31/2027,12/31/2027
207,Topailore,14.15,CTE,General,Impart wastewater treatment as per CPCB standards,"That, the occupier shall impart treatment as per Central Pollution Control Board text to wastewater and shall keep process effluent in close-circuit and effluent from other sources in conformity with the standard(s).","pdf,image",5,3,0,Gua,Iron Ore Mine,Vinay,Anshul,Approval Pending,1/17/2025,1/17/2025,2/9/2025,,12/31/2027,12/31/2027
208,Topailore,14.15,CTE,General,Keep process effluent in close-circuit,"That, the occupier shall impart treatment as per Central Pollution Control Board text to wastewater and shall keep process effluent in close-circuit and effluent from other sources in conformity with the standard(s).",pdf,5,3,2,Gua,Iron Ore Mine,Shreyas,test_user,Approved,5/29/2025,5/29/2025,6/5/2025,6/6/2025,6/6/2025,6/6/2025
209,Topailore,14.15,CTE,General,Ensure effluent from other sources conforms to standards,"That, the occupier shall impart treatment as per Central Pollution Control Board text to wastewater and shall keep process effluent in close-circuit and effluent from other sources in conformity with the standard(s).",pdf,5,3,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,3/23/2025,3/23/2025,4/1/2025,4/4/2025,4/4/2025,4/4/2025
210,Topailore,14.15,CTE,General,Install approved system of rain water harvesting-cum-ground water recharge,"That, the occupier shall install Central Ground Water Board/ State Ground Water Directorate approved system of rain water harvesting-cum-ground water recharge.","image,pdf",6,2,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,9/3/2024,9/3/2024,9/27/2024,9/29/2024,9/29/2024,9/29/2024
211,Topailore,14.15,CTE,General,Create new water body(ies),"That, the occupier shall create new water body(ies) / remove deposit(s) of existing water body(ies) and nearby stream(s) and pond(s) and shall maintain the wholesomeness of water.","image,pdf",7,2,0,Gua,Iron Ore Mine,Ankit,Vinay,Approval Pending,4/15/2025,4/15/2025,5/17/2025,,12/31/2027,12/31/2027
212,Topailore,14.15,CTE,General,Remove deposit(s) of existing water body(ies),"That, the occupier shall create new water body(ies) / remove deposit(s) of existing water body(ies) and nearby stream(s) and pond(s) and shall maintain the wholesomeness of water.","image,pdf",7,2,0,Gua,Iron Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
213,Topailore,14.15,CTE,General,Remove deposit(s) of nearby stream(s) and pond(s),"That, the occupier shall create new water body(ies) / remove deposit(s) of existing water body(ies) and nearby stream(s) and pond(s) and shall maintain the wholesomeness of water.","image,pdf",7,2,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,4/24/2024,4/24/2024,5/5/2024,5/7/2024,5/7/2024,5/7/2024
214,Topailore,14.15,CTE,General,Maintain the wholesomeness of water,"That, the occupier shall create new water body(ies) / remove deposit(s) of existing water body(ies) and nearby stream(s) and pond(s) and shall maintain the wholesomeness of water.",pdf,7,3,0,Gua,Iron Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
215,Topailore,14.15,CTE,General,Grow greenery in the periphery and other available spaces,"That, the occupier shall grow greenery in the periphery and other available spaces and shall continue enhancing its plant density and biodiversity.","image,pdf",8,2,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,10/15/2024,10/15/2024,10/24/2024,10/27/2024,10/27/2024,10/27/2024
216,Topailore,14.15,CTE,General,Continue enhancing plant density and biodiversity,"That, the occupier shall grow greenery in the periphery and other available spaces and shall continue enhancing its plant density and biodiversity.",pdf,8,2,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,7/30/2024,7/30/2024,8/14/2024,8/16/2024,8/16/2024,8/16/2024
217,Topailore,14.15,CTE,General,CTE validity is subject to the validity of Mining Lease/Plan/EC,"That, this CTE is valid subjected to the validity of mining Lease / Mining Plan / Ecofriendly / Environmental Clearance, if applicable. In case of no renewal of Mining Lease/Mining Plan, this consent shall be treated as revoked automatically.",pdf,9,4,0,Gua,Iron Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
218,Topailore,14.15,CTE,General,Consent is revoked if Mining Lease/Plan is not renewed,"That, this CTE is valid subjected to the validity of mining Lease / Mining Plan / Ecofriendly / Environmental Clearance, if applicable. In case of no renewal of Mining Lease/Mining Plan, this consent shall be treated as revoked automatically.",pdf,9,4,0,Gua,Iron Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
219,Topailore,14.15,CTE,General,CTE does not absolve occupier from other statutory obligations,"That, this CTE is issued from the environmental angle only and does not absolve the occupier from other statutory obligations prescribed under any other law or any other instrument in force. The sole and complete responsibility to comply with these conditions laid down in all other laws for the time being in force, rests with the industry/unit/ occupier.",pdf,10,3,0,Gua,Iron Ore Mine,Naveen,Ankit,Approval Pending,10/8/2024,10/8/2024,11/9/2024,,12/31/2027,12/31/2027
220,Topailore,14.15,CTE,General,Sole responsibility to comply with all other laws rests with the occupier,"That, this CTE is issued from the environmental angle only and does not absolve the occupier from other statutory obligations prescribed under any other law or any other instrument in force. The sole and complete responsibility to comply with these conditions laid down in all other laws for the time being in force, rests with the industry/unit/ occupier.",pdf,10,3,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,10/1/2024,10/1/2024,10/21/2024,10/24/2024,10/24/2024,10/24/2024
221,Topailore,14.15,CTE,General,CTE shall not affect or jeopardize any legal proceeding,"That, this CTE shall not in any way, adversely affect or jeopardize the legal proceeding, if any, instituted in the past or that could be, instituted against you by the State Board for violation of the provisions of the Act or the Rules made there under.",pdf,11,3,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,5/6/2025,5/6/2025,5/18/2025,5/19/2025,5/19/2025,5/19/2025
222,Topailore,14.15,CTE,General,"Comply with the Water (Prevention & Control of Pollution) Act, 1974","That, the occupier shall comply with all applicable provisions of the Water (Prevention & Control of Pollution) Act, 1974; the Water (Prevention & Control of Pollution) Cess Act, 1977; the Air (Prevention & Control of Pollution) Act, 1981; and the Environment (Protection) Act, 1986 and Rules there under.",pdf,12,4,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,8/10/2024,8/10/2024,8/29/2024,8/30/2024,8/30/2024,8/30/2024
223,Topailore,14.15,CTE,General,"Comply with the Water (Prevention & Control of Pollution) Cess Act, 1977","That, the occupier shall comply with all applicable provisions of the Water (Prevention & Control of Pollution) Act, 1974; the Water (Prevention & Control of Pollution) Cess Act, 1977; the Air (Prevention & Control of Pollution) Act, 1981; and the Environment (Protection) Act, 1986 and Rules there under.",pdf,12,4,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,4/25/2025,4/25/2025,5/20/2025,5/22/2025,5/22/2025,5/22/2025
224,Topailore,14.15,CTE,General,"Comply with the Air (Prevention & Control of Pollution) Act, 1981","That, the occupier shall comply with all applicable provisions of the Water (Prevention & Control of Pollution) Act, 1974; the Water (Prevention & Control of Pollution) Cess Act, 1977; the Air (Prevention & Control of Pollution) Act, 1981; and the Environment (Protection) Act, 1986 and Rules there under.",pdf,12,4,0,Gua,Iron Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
225,Topailore,14.15,CTE,General,"Comply with the Environment (Protection) Act, 1986 and Rules","That, the occupier shall comply with all applicable provisions of the Water (Prevention & Control of Pollution) Act, 1974; the Water (Prevention & Control of Pollution) Cess Act, 1977; the Air (Prevention & Control of Pollution) Act, 1981; and the Environment (Protection) Act, 1986 and Rules there under.",pdf,12,4,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,5/12/2025,5/12/2025,6/5/2025,6/6/2025,6/6/2025,6/6/2025
226,Topailore,14.15,CTO,Specific,Reclaim mined out area with OB,"That, the occupier shall reclaim mined out area with OB and construct toe wall and garland drain.","image,pdf",1,3,0,Gua,Iron Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
227,Topailore,14.15,CTO,Specific,Construct toe wall and garland drain,"That, the occupier shall reclaim mined out area with OB and construct toe wall and garland drain.",image,1,3,0,Gua,Iron Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
228,Topailore,14.15,CTO,Specific,Preserve the top soil,"That, the shall preserve the top soil, fill over OB after mine reclamation and do tree plantation",image,2,2,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,12/9/2024,12/9/2024,12/30/2024,1/1/2025,1/1/2025,1/1/2025
229,Topailore,14.15,CTO,Specific,Fill over OB after mine reclamation,"That, the shall preserve the top soil, fill over OB after mine reclamation and do tree plantation",image,2,3,0,Gua,Iron Ore Mine,Ankit,Vinay,Approval Pending,9/11/2024,9/11/2024,10/4/2024,,12/31/2027,12/31/2027
230,Topailore,14.15,CTO,Specific,Do tree plantation,"That, the shall preserve the top soil, fill over OB after mine reclamation and do tree plantation","image,pdf",2,3,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,3/9/2025,3/9/2025,3/20/2025,3/22/2025,3/22/2025,3/22/2025
231,Topailore,14.15,CTO,Specific,Undertake re-grassing of the mining area after ceasing operations,"That, the mining lease holders shall, after ceasing mining operations, undertake re-grassing the mining area and any area which may have been disturbed due to their mining activities and restore the land to a conditions which is fit for growth of fodder, flora, fauna, etc.","image,pdf",3,3,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,11/30/2024,11/30/2024,12/16/2024,12/17/2024,12/17/2024,12/17/2024
232,Topailore,14.15,CTO,Specific,Undertake re-grassing of any area disturbed by mining,"That, the mining lease holders shall, after ceasing mining operations, undertake re-grassing the mining area and any area which may have been disturbed due to their mining activities and restore the land to a conditions which is fit for growth of fodder, flora, fauna, etc.","image,pdf",3,3,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,11/1/2024,11/1/2024,11/16/2024,11/18/2024,11/18/2024,11/18/2024
233,Topailore,14.15,CTO,Specific,"Restore land to be fit for growth of fodder, flora, fauna","That, the mining lease holders shall, after ceasing mining operations, undertake re-grassing the mining area and any area which may have been disturbed due to their mining activities and restore the land to a conditions which is fit for growth of fodder, flora, fauna, etc.","image,pdf",3,3,0,Gua,Iron Ore Mine,Shreyas,test_user,Approval Pending,10/24/2024,10/24/2024,11/6/2024,,12/31/2027,12/31/2027
234,Topailore,14.15,CTO,Specific,Install and maintain foggers type water sprinklers,"That, the occupier shall install and maintain foggers type water sprinklers to control fugitive emission and shall maintain a good house keeping;",image,4,2,0,Gua,Iron Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
235,Topailore,14.15,CTO,Specific,Maintain good housekeeping,"That, the occupier shall install and maintain foggers type water sprinklers to control fugitive emission and shall maintain a good house keeping;",image,4,1,0,Gua,Iron Ore Mine,Naveen,Ankit,Evidence Pending,6/1/2025,6/1/2025,7/4/2025,,12/31/2027,12/31/2027
236,Topailore,14.15,CTO,Specific,Comply with conditions of Environmental Clearance,"That, the occupier shall comply the conditions as imposed in Environmental Clearance issued vide memo no. EC/SEIAA/2022-23/2664/2022/299 dated-13.12.2022;",pdf,5,4,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,3/28/2024,3/28/2024,4/18/2024,4/20/2024,4/20/2024,4/20/2024
237,Topailore,14.15,CTO,Specific,Re-validate permission from Forest Dept for mineral transport,"That, Necessary permission from the Forest Department for transportation of mineral through the forest road shall be re validated before restarting mining operation.",pdf,6,3,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,3/8/2025,3/8/2025,4/2/2025,4/3/2025,4/3/2025,4/3/2025
238,Topailore,14.15,CTO,Specific,Restrict mining operations to above ground water table,"That, The mining operations shall be restricted to above ground water table and it should not intersect groundwater table. In case of working below the ground water table, prior approval of the Ground Water Directorate, Government of Jharkhand / Central Ground Water Board shall be obtained. Benches height and slope shall be maintained as per approved Mining Plan.",pdf,7,4,0,Gua,Iron Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
239,Topailore,14.15,CTO,Specific,Operations should not intersect groundwater table,"That, The mining operations shall be restricted to above ground water table and it should not intersect groundwater table. In case of working below the ground water table, prior approval of the Ground Water Directorate, Government of Jharkhand / Central Ground Water Board shall be obtained. Benches height and slope shall be maintained as per approved Mining Plan.","kml,pdf",7,4,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,6/19/2024,6/19/2024,7/4/2024,7/7/2024,7/7/2024,7/7/2024
240,Topailore,14.15,CTO,Specific,Obtain prior approval for working below ground water table (if required),"That, The mining operations shall be restricted to above ground water table and it should not intersect groundwater table. In case of working below the ground water table, prior approval of the Ground Water Directorate, Government of Jharkhand / Central Ground Water Board shall be obtained. Benches height and slope shall be maintained as per approved Mining Plan.",pdf,7,4,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,7/17/2024,7/17/2024,7/24/2024,7/27/2024,7/27/2024,7/27/2024
241,Topailore,14.15,CTO,Specific,Maintain benches height and slope as per approved Mining Plan,"That, The mining operations shall be restricted to above ground water table and it should not intersect groundwater table. In case of working below the ground water table, prior approval of the Ground Water Directorate, Government of Jharkhand / Central Ground Water Board shall be obtained. Benches height and slope shall be maintained as per approved Mining Plan.","image,pdf",7,2,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,3/2/2025,3/2/2025,3/15/2025,3/17/2025,3/17/2025,3/17/2025
242,Topailore,14.15,CTO,Specific,Ensure no natural watercourse is obstructed by mining operations,"That, The project proponent shall ensure that no natural watercourse shall be obstructed due to any mining operations. Adequate measures shall be taken for conservation and protection of the first order and the second order streams, if any emanating/passing through the mine lease area during the course of mining operation.","image,kml",8,4,0,Gua,Iron Ore Mine,Ankit,Shreyas,Approval Pending,3/31/2025,3/31/2025,4/16/2025,,12/31/2027,12/31/2027
243,Topailore,14.15,CTO,Specific,Take measures for conservation and protection of first and second order streams,"That, The project proponent shall ensure that no natural watercourse shall be obstructed due to any mining operations. Adequate measures shall be taken for conservation and protection of the first order and the second order streams, if any emanating/passing through the mine lease area during the course of mining operation.","image,pdf",8,3,0,Gua,Iron Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
244,Topailore,14.15,CTO,Specific,Stack top soil with proper slope at earmarked sites,"That, Top soil should be stacked with proper slope at earmarked site(s) only with adequate measures and should be used for reclamation and rehabilitation of mined out areas.",image,9,2,0,Gua,Iron Ore Mine,Ankit,Shreyas,Evidence Pending,4/15/2025,4/15/2025,5/30/2025,,12/31/2027,12/31/2027
245,Topailore,14.15,CTO,Specific,Use top soil for reclamation and rehabilitation of mined out areas,"That, Top soil should be stacked with proper slope at earmarked site(s) only with adequate measures and should be used for reclamation and rehabilitation of mined out areas.","image,pdf",9,3,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,4/20/2024,4/20/2024,5/4/2024,5/6/2024,5/6/2024,5/6/2024
246,Topailore,14.15,CTO,Specific,Backfill entire waste generated,"That, the entire waste generated shall be backfilled and there shall be no external over burden dump left at the end of the mine life. The entire backfilled area shall be reclaimed by plantation. The back filling should be carried out in such a manner that it is restored to the normal ground level. Monitoring and management of rehabilitated areas should continue until the vegetation becomes self-sustaining and shall submit compliance status on six monthly basis.","image,pdf",10,3,0,Gua,Iron Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
247,Topailore,14.15,CTO,Specific,Ensure no external over burden dump is left at end of mine life,"That, the entire waste generated shall be backfilled and there shall be no external over burden dump left at the end of the mine life. The entire backfilled area shall be reclaimed by plantation. The back filling should be carried out in such a manner that it is restored to the normal ground level. Monitoring and management of rehabilitated areas should continue until the vegetation becomes self-sustaining and shall submit compliance status on six monthly basis.","image,pdf",10,3,0,Gua,Iron Ore Mine,Ankit,Vinay,Evidence Pending,8/16/2025,8/16/2025,9/19/2025,,12/31/2027,12/31/2027
248,Topailore,14.15,CTO,Specific,Reclaim entire backfilled area by plantation,"That, the entire waste generated shall be backfilled and there shall be no external over burden dump left at the end of the mine life. The entire backfilled area shall be reclaimed by plantation. The back filling should be carried out in such a manner that it is restored to the normal ground level. Monitoring and management of rehabilitated areas should continue until the vegetation becomes self-sustaining and shall submit compliance status on six monthly basis.","image,pdf",10,3,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,4/12/2025,4/12/2025,4/26/2025,4/29/2025,4/29/2025,4/29/2025
249,Topailore,14.15,CTO,Specific,Restore backfilled area to normal ground level,"That, the entire waste generated shall be backfilled and there shall be no external over burden dump left at the end of the mine life. The entire backfilled area shall be reclaimed by plantation. The back filling should be carried out in such a manner that it is restored to the normal ground level. Monitoring and management of rehabilitated areas should continue until the vegetation becomes self-sustaining and shall submit compliance status on six monthly basis.","image,pdf",10,2,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,4/3/2025,4/3/2025,4/17/2025,4/18/2025,4/18/2025,4/18/2025
250,Topailore,14.15,CTO,Specific,Monitor and manage rehabilitated areas until vegetation is self-sustaining,"That, the entire waste generated shall be backfilled and there shall be no external over burden dump left at the end of the mine life. The entire backfilled area shall be reclaimed by plantation. The back filling should be carried out in such a manner that it is restored to the normal ground level. Monitoring and management of rehabilitated areas should continue until the vegetation becomes self-sustaining and shall submit compliance status on six monthly basis.","pdf,image",10,3,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,4/22/2024,4/22/2024,5/5/2024,5/6/2024,5/6/2024,5/6/2024
251,Topailore,14.15,CTO,Specific,Submit compliance status of rehabilitated areas on six monthly basis,"That, the entire waste generated shall be backfilled and there shall be no external over burden dump left at the end of the mine life. The entire backfilled area shall be reclaimed by plantation. The back filling should be carried out in such a manner that it is restored to the normal ground level. Monitoring and management of rehabilitated areas should continue until the vegetation becomes self-sustaining and shall submit compliance status on six monthly basis.",pdf,10,2,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,5/12/2024,5/12/2024,6/3/2024,6/4/2024,6/4/2024,6/4/2024
252,Topailore,14.15,CTO,Specific,Obtain prior approval from competent authority for drawl of water,"That, the project authorities should obtain prior approval of the competent authority for drawl of water required for the project.",pdf,11,3,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,11/15/2024,11/15/2024,12/10/2024,12/12/2024,12/12/2024,12/12/2024
253,Topailore,14.15,CTO,Specific,Plan and implement suitable rainwater harvesting measures,"That, suitable rainwater harvesting measures shall be planned and implemented in consultation with the Ground Water Directorate, Government of Jharkhand/Central Ground Water Board / Authority.","pdf,image",12,2,0,Gua,Iron Ore Mine,Naveen,Ankit,Evidence Pending,7/10/2025,7/10/2025,8/14/2025,,12/31/2027,12/31/2027
254,Topailore,14.15,CTO,Specific,Submit final mine closure plan and corpus fund in advance,"That, a final mine closure Plan along with corpus fund duly approved by Competent Authority shall be submitted in advance of final mine closure for approval.",pdf,13,3,0,Gua,Iron Ore Mine,Naveen,Ankit,Evidence Pending,8/26/2025,8/26/2025,9/30/2025,,12/31/2027,12/31/2027
255,Topailore,14.15,CTO,Specific,Plan and implement suitable rainwater harvesting measures,"That, suitable rainwater harvesting measures shall be planned and implemented in consultation with the Ground Water Directorate, Government of Jharkhand/Central Ground Water Board / Authority.","pdf,image",14,2,0,Gua,Iron Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
256,Topailore,14.15,CTO,Specific,Maintain all internal roads pucca,"That, the proponent shall maintain all internal roads pucca and shall maintain a good housekeeping by regular cleaning and wetting of the haul roads and the premises.",image,15,2,0,Gua,Iron Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
